,parking_kind,payed,parking_duration,lon,lat,zsname,noise_norm,leisure_norm,traffic_norm,duration_norm
3563,White Zone,1,120.0,8.52445,47.373995,Seebahnstrasse (Kalkbreitestrasse),0.39473684210526316,0.39655172413793105,0.5625584405722557,0.06885245901639345
3564,White Zone,1,120.0,8.526218,47.373597,Schimmelstrasse (Werdstrasse),0.2631578947368421,0.5258620689655172,0.6429165349465716,0.06885245901639345
3565,White Zone,1,120.0,8.534567,47.373496,Gessnerallee (Usteribrücke),0.3157894736842105,0.31896551724137934,0.40713128435351204,0.06885245901639345
3566,White Zone,1,120.0,8.534918,47.373337,Gessnerallee (Usteribrücke),0.42105263157894735,0.35344827586206895,0.40713128435351204,0.06885245901639345
3567,White Zone,1,120.0,8.540869,47.374544,Rudolf Brun-Brücke,0.7631578947368421,0.853448275862069,0.21838188107078502,0.06885245901639345
3568,White Zone,1,120.0,8.540803,47.374545,Rudolf Brun-Brücke,0.7631578947368421,0.853448275862069,0.21838188107078502,0.06885245901639345
3569,White Zone,1,120.0,8.540737,47.374545,Rudolf Brun-Brücke,0.7631578947368421,0.853448275862069,0.21838188107078502,0.06885245901639345
3570,White Zone,1,30.0,8.534993,47.373695,Gessnerallee (Usteribrücke),0.3157894736842105,0.31896551724137934,0.40713128435351204,0.009836065573770493
3571,White Zone,1,30.0,8.535052,47.373755,Gessnerallee (Usteribrücke),0.3157894736842105,0.31896551724137934,0.40713128435351204,0.009836065573770493
3572,White Zone,1,120.0,8.535528,47.371024,Talstrasse (Pelikanstrasse),0.8421052631578947,0.3103448275862069,0.23493645373015498,0.06885245901639345
3573,White Zone,1,120.0,8.538565,47.376632,Gessnerallee (Usteribrücke),0.2894736842105263,0.5172413793103449,0.40713128435351204,0.06885245901639345
3574,White Zone,1,120.0,8.537653,47.376942,Gessnerallee (Usteribrücke),0.5,0.5,0.40713128435351204,0.06885245901639345
3575,White Zone,1,120.0,8.537402,47.377052,Gessnerallee (Usteribrücke),0.5,0.5,0.40713128435351204,0.06885245901639345
3576,White Zone,1,120.0,8.536059,47.372885,Talstrasse (Pelikanstrasse),0.6052631578947368,0.41379310344827586,0.23493645373015498,0.06885245901639345
3577,White Zone,1,120.0,8.537167,47.370718,Talstrasse (Pelikanstrasse),0.39473684210526316,0.4051724137931034,0.23493645373015498,0.06885245901639345
3578,White Zone,1,120.0,8.53723,47.370747,Talstrasse (Pelikanstrasse),0.42105263157894735,0.43103448275862066,0.23493645373015498,0.06885245901639345
3579,White Zone,1,30.0,8.537991,47.369973,Talstrasse (Pelikanstrasse),0.34210526315789475,0.4224137931034483,0.23493645373015498,0.009836065573770493
3580,White Zone,1,120.0,8.533367,47.383241,Milchbucktunnel (Südportal),0.8157894736842105,0.3448275862068966,0.797039771765859,0.06885245901639345
